location_id,event_id,name,province,latitude,longitude,location_type,altitude_m
E200801_CHENGDU,E200801_SC_CQ_ICE,成都,四川,30.5728,104.0668,city_representative,
E200801_CHONGQING,E200801_SC_CQ_ICE,重庆,重庆,29.5630,106.5516,city_representative,
E200801_DAZHOU,E200801_SC_CQ_ICE,达州,四川,31.2095,107.4680,city_representative,
E200801_GUANGAN,E200801_SC_CQ_ICE,广安,四川,30.4564,106.6332,city_representative,
E200801_SOUTH_SNOWICE_E58D97E698,E200801_SOUTH_SNOWICE,南昌,江西,28.6820,115.8582,city_representative,
E200801_SOUTH_SNOWICE_E59088E882,E200801_SOUTH_SNOWICE,合肥,安徽,31.8206,117.2272,city_representative,
E200801_SOUTH_SNOWICE_E69DADE5B7,E200801_SOUTH_SNOWICE,杭州,浙江,30.2741,120.1551,city_representative,
E200801_SOUTH_SNOWICE_E6ADA6E6B1,E200801_SOUTH_SNOWICE,武汉,湖北,30.5928,114.3055,city_representative,
E200801_SOUTH_SNOWICE_E8B4B5E998,E200801_SOUTH_SNOWICE,贵阳,贵州,26.6470,106.6302,city_representative,
E200801_SOUTH_SNOWICE_E995BFE6B2,E200801_SOUTH_SNOWICE,长沙,湖南,28.2282,112.9388,city_representative,
E20091230_ALTAY_CITY,E20091230_ALTAY_SNOW,阿勒泰,新疆,47.8486,88.1396,city_representative,
E20091230_BURQIN,E20091230_ALTAY_SNOW,布尔津,新疆,47.7045,86.8750,city_representative,
E20091230_FUYUN,E20091230_ALTAY_SNOW,富蕴,新疆,46.9944,89.5255,city_representative,
E20100319_NORTH_SANDSTORM_E4B98CE9B2,E20100319_NORTH_SANDSTORM,乌鲁木齐,新疆,43.8256,87.6168,city_representative,
E20100319_NORTH_SANDSTORM_E585B0E5B7,E20100319_NORTH_SANDSTORM,兰州,甘肃,36.0611,103.8343,city_representative,
E20100319_NORTH_SANDSTORM_E58C97E4BA,E20100319_NORTH_SANDSTORM,北京,北京,39.9042,116.4074,city_representative,
E20100319_NORTH_SANDSTORM_E591BCE592,E20100319_NORTH_SANDSTORM,呼和浩特,内蒙古,40.8426,111.7492,city_representative,
E20100319_NORTH_SANDSTORM_E995BFE698,E20100319_NORTH_SANDSTORM,长春,吉林,43.8171,125.3235,city_representative,
E20120320_DUNHUANG,E20120320_SANDSTORM,敦煌,甘肃,40.1421,94.6618,city_representative,
E20120320_GOLMUD,E20120320_SANDSTORM,格尔木,青海,36.4074,94.9281,city_representative,
E20120320_HAMI,E20120320_SANDSTORM,哈密,新疆,42.8193,93.5151,city_representative,
E20120320_HOTAN,E20120320_SANDSTORM,和田,新疆,37.1121,79.9225,city_representative,
E20120330_DABANCHENG,E20120330_XJ_WIND,达坂城,新疆,43.3599,88.3099,city_representative,
E20120330_URUMQI,E20120330_XJ_WIND,乌鲁木齐,新疆,43.8256,87.6168,city_representative,
E20120421_ALTAY,E20120421_XJ_COLDWAVE,阿勒泰,新疆,47.8486,88.1396,city_representative,
E20120421_URUMQI,E20120421_XJ_COLDWAVE,乌鲁木齐,新疆,43.8256,87.6168,city_representative,
E201212_ALTAY,E201212_XJ_SNOW_WIND,阿勒泰,新疆,47.8486,88.1396,city_representative,
E201212_TACHENG,E201212_XJ_SNOW_WIND,塔城,新疆,46.7453,82.9803,city_representative,
E201212_URUMQI,E201212_XJ_SNOW_WIND,乌鲁木齐,新疆,43.8256,87.6168,city_representative,
