event_id,event_type,name,start_date,end_date,region,source_name,source_url,notes
E20250410_SANDSTORM,sandstorm,2025年4月10-14日西北强沙尘暴,2025-04-10,2025-04-14,甘肃河西/宁夏/内蒙古西部/新疆东部,应急管理部,https://www.mem.gov.cn/xw/yjglbgzdt/202505/t20250512_532571.shtml,强沙尘暴与大风复合过程
E20250411_STRONGWIND,strong_wind,2025年4月11-13日北方大范围极端大风,2025-04-11,2025-04-13,西北地区东部/内蒙古中西部/甘肃/青海北部,中国气象局,https://www.cma.gov.cn/ztbd/2025zt/tqzt/2014072109/202504/t20250412_6995396.html,大范围极端大风过程
E20250123_COLDWAVE,cold_wave,2025年1月23-27日西北寒潮雨雪,2025-01-23,2025-01-27,新疆/西北地区东部/青海/川西高原,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xzytq/202501/t20250120_6810814.html,寒潮雨雪大风过程
E202506_HEAT,heat_stagnation,2025年6月西部区域高温事件,2025-06-01,2025-06-30,西北/青藏高原/川渝,国家气候中心,https://bcc.ncc-cma.net/news/index/1206,2025年6月高温快速归因事件
E202402_XJ_COLDWAVE,cold_wave,2024年2月新疆特强寒潮,2024-02-01,2024-02-29,新疆,新疆气象局,https://xj.cma.gov.cn/xwzx/qxyw/202501/t20250115_6801676.html,-52.3摄氏度刷新低温纪录
E202404_XJ_WIND,strong_wind,2024年4月新疆强风沙过程,2024-04-01,2024-04-30,新疆,新疆气象局,https://xj.cma.gov.cn/xwzx/qxyw/202501/t20250115_6801676.html,强风沙席卷新疆多站风速刷新同期极值
E202406_XJ_HEAT,heat_stagnation,2024年夏季新疆持续高温,2024-06-01,2024-08-31,新疆,新疆气象局,https://xj.cma.gov.cn/xwzx/qxyw/202409/t20240914_6583653.html,夏季平均气温与2023年并列1961年以来最高
E2024_ALTAY_SNOW,blizzard,2024年新疆阿勒泰强降雪,2024-01-01,2024-03-31,新疆阿勒泰,新疆气象局,https://xj.cma.gov.cn/xwzx/qxyw/202501/t20250115_6801676.html,积雪超2米适合积雪深度分析
E20230319_SANDSTORM,sandstorm,2023年3月19-24日北方强沙尘过程,2023-03-19,2023-03-24,新疆/甘肃/内蒙古/宁夏/陕西北部,国家气候中心/中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/202401/t20240119_6016036.html,春季沙尘过程显著偏多
E20230418_SANDSTORM,sandstorm,2023年4月18-21日西北沙尘暴过程,2023-04-18,2023-04-21,新疆/甘肃/内蒙古/宁夏,国家气候中心/中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/202401/t20240119_6016036.html,甘肃民勤最低能见度110米
E202306_XJ_HEAT,heat_stagnation,2023年夏季新疆极端高温,2023-06-01,2023-08-31,新疆,新疆气象局,https://xj.cma.gov.cn/xwzx/mtjj/202402/t20240206_6062080.html,新疆1961年以来最热夏季高温日数历史第一多
E20230801_XJ_HEAT,heat_stagnation,2023年8月1-7日新疆区域性高温,2023-08-01,2023-08-07,新疆吐鲁番/哈密/巴州等,新疆气象局,https://xj.cma.gov.cn/zfxxgk/zwgk/qxtjsj/202308/t20230810_5706030.html,托克逊最高45.5摄氏度
E20220613_CQSC_HEAT,heat_stagnation,2022年6月13日至8月30日川渝极端高温,2022-06-13,2022-08-30,四川/重庆,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xmtjj/202301/t20230110_5250856.html,全国1961年以来最强高温过程
E20220813_CQSC_HEAT,heat_stagnation,2022年8月13-23日四川盆地极端高温,2022-08-13,2022-08-23,四川/重庆,中国气象局,https://www.cma.gov.cn/ztbd/2022zt/20221031/2022103103/202210/t20221031_5157497.html,重庆北碚最高45摄氏度
E20221126_COLDWAVE,cold_wave,2022年11月26日至12月1日强寒潮,2022-11-26,2022-12-01,新疆/甘肃/青海/川渝部分地区,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/202212/t20221202_5209168.html,入冬以来最强寒潮综合强度为历史同期第五
E20210313_SANDSTORM,sandstorm,2021年3月13-18日近10年最强沙尘天气,2021-03-13,2021-03-18,新疆东部和南疆/甘肃/青海东北部/内蒙古中西部,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/202103/t20210316_573617.html,沙尘面积超380万平方公里
E20211104_COLDWAVE,cold_wave,2021年11月4-9日强寒潮过程,2021-11-04,2021-11-09,西北/内蒙古/新疆部分地区,中国气象局,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202203/P020230712370155615526.pdf,2021年中国气候公报重要极端事件
E202001_XJ_SNOW,blizzard,2020年1月新疆吐鲁番极端降雪,2020-01-10,2020-01-20,新疆吐鲁番,新疆气象局,https://xj.cma.gov.cn/zfxxgk/zwgk/qxtjsj/202212/t20221228_5236395.html,元月中旬吐鲁番市出现极端降雪
E202006_XJ_HEAT_WIND,heat_stagnation,2020年新疆多次区域性高温过程,2020-06-01,2020-08-31,新疆,新疆气象局,https://xj.cma.gov.cn/zfxxgk/zwgk/qxtjsj/202212/t20221228_5236395.html,8次区域性高温过程并伴随风沙灾害
E20180401_SANDSTORM,sandstorm,2018年4月1-3日西北沙尘过程,2018-04-01,2018-04-03,新疆南疆/甘肃河西/内蒙古中西部,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/201805/t20180503_467587.html,南疆盆地出现沙尘暴甘肃河西和内蒙古中西部受影响
E20180403_COLDWAVE,cold_wave,2018年4月3-7日西北低温冻害寒潮,2018-04-03,2018-04-07,甘肃/宁夏/陕西及西北东部,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/201805/t20180503_467587.html,严重低温冻害甘肃受灾较重
E201706_HEAT,heat_stagnation,2017年夏季西部高温事件,2017-06-01,2017-08-31,新疆东部/内蒙古西部/四川西北部等,中国气象局,https://www.cma.gov.cn/en2014/news/Features/201801/t20180123_460839.html,2017年全国高温日数1961年以来最多
E20160121_COLDWAVE,cold_wave,2016年1月21-25日强寒潮过程,2016-01-21,2016-01-25,西北地区东部/川渝周边,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/201602/t20160210_303989.html,强寒潮影响全国大部降温幅度大
E201506_XJ_HEAT,heat_stagnation,2015年夏季新疆高温热害,2015-06-01,2015-08-31,新疆,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/201512/t20151230_300981.html,新疆高温日数突破历史极值
E20120320_SANDSTORM,sandstorm,2012年3月20-22日新疆甘肃青海沙尘暴,2012-03-20,2012-03-22,新疆东部/南疆盆地/甘肃西部/青海北部,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/201301/P020130114437471899661.pdf,南疆局地强沙尘暴
E20120330_XJ_WIND,strong_wind,2012年3月30日乌鲁木齐东南大风,2012-03-30,2012-03-30,新疆乌鲁木齐,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xgzdt/201212/t20121231_199900.html,3.30东南大风横扫首府
E20120421_XJ_COLDWAVE,cold_wave,2012年4月21日新疆寒潮过程,2012-04-21,2012-04-21,新疆,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xgzdt/201212/t20121231_199900.html,4.21寒潮影响全疆
E201212_XJ_SNOW_WIND,blizzard,2012年12月新疆罕见风吹雪,2012-12-01,2012-12-31,新疆,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xgzdt/201212/t20121231_199900.html,罕见风吹雪阻断交通要道
