location_id,event_id,name,province,latitude,longitude,location_type,altitude_m
E202506_LANZHOU,E202506_HEAT,兰州,甘肃,36.0611,103.8343,city_representative,
E202506_XINING,E202506_HEAT,西宁,青海,36.6171,101.7782,city_representative,
E202506_CHONGQING,E202506_HEAT,重庆,重庆,29.5630,106.5516,city_representative,
E202506_TURPAN,E202506_HEAT,吐鲁番,新疆,42.9513,89.1895,city_representative,
E20250411_ALXA,E20250411_STRONGWIND,阿拉善左旗,内蒙古,38.8330,105.6660,city_representative,
E20250411_JIUQUAN,E20250411_STRONGWIND,酒泉,甘肃,39.7328,98.4944,city_representative,
E20250411_XINING,E20250411_STRONGWIND,西宁,青海,36.6171,101.7782,city_representative,
E20250410_JIUQUAN,E20250410_SANDSTORM,酒泉,甘肃,39.7328,98.4944,city_representative,
E20250410_ALXA,E20250410_SANDSTORM,阿拉善左旗,内蒙古,38.8330,105.6660,city_representative,
E20250410_HAMI,E20250410_SANDSTORM,哈密,新疆,42.8193,93.5151,city_representative,
E20250410_YINCHUAN,E20250410_SANDSTORM,银川,宁夏,38.4872,106.2309,city_representative,
E20250123_URUMQI,E20250123_COLDWAVE,乌鲁木齐,新疆,43.8256,87.6168,city_representative,
E20250123_XINING,E20250123_COLDWAVE,西宁,青海,36.6171,101.7782,city_representative,
E20250123_LANZHOU,E20250123_COLDWAVE,兰州,甘肃,36.0611,103.8343,city_representative,
E20250123_KANGDING,E20250123_COLDWAVE,康定,四川,30.0495,101.9625,city_representative,
E202406_TURPAN,E202406_XJ_HEAT,吐鲁番,新疆,42.9513,89.1895,city_representative,
E202406_HAMI,E202406_XJ_HEAT,哈密,新疆,42.8193,93.5151,city_representative,
E202406_HOTAN,E202406_XJ_HEAT,和田,新疆,37.1121,79.9225,city_representative,
E202404_TACHENG,E202404_XJ_WIND,塔城,新疆,46.7453,82.9803,city_representative,
E202404_URUMQI,E202404_XJ_WIND,乌鲁木齐,新疆,43.8256,87.6168,city_representative,
E202404_HAMI,E202404_XJ_WIND,哈密,新疆,42.8193,93.5151,city_representative,
E202402_FUYUN,E202402_XJ_COLDWAVE,富蕴,新疆,46.9944,89.5255,city_representative,
E202402_ALTAY,E202402_XJ_COLDWAVE,阿勒泰,新疆,47.8486,88.1396,city_representative,
E202402_URUMQI,E202402_XJ_COLDWAVE,乌鲁木齐,新疆,43.8256,87.6168,city_representative,
E2024_ALTAY_CITY,E2024_ALTAY_SNOW,阿勒泰,新疆,47.8486,88.1396,city_representative,
E2024_ALTAY_BURQIN,E2024_ALTAY_SNOW,布尔津,新疆,47.7045,86.8750,city_representative,
